Apartment_Name,Apartment_Location,Apartment_Rent,Apartment_Deposit,Apartment_Negotiable,Apartment_Image_URL,Apartment_Latitude,Apartment_Longitude,Amenity_Name,Amenity_Category,Amenity_Latitude,Amenity_Longitude,Amenity_Address
2 BHK Flat  In Vanshri Apartments for Rent  In Bavdhan,"Vanshri Apartments,, Prabhat Housing Society, Sagar Co-Operative Housing Society, Bavdhan, Pune","₹ 22,000No Extra Maintenance","₹75,000",Rent (Negotiable),https://images.nobroker.in/images/8a9f94827ace5073017acea8d61a2b6c/8a9f94827ace5073017acea8d61a2b6c_93045_21617_medium.jpg,18.4642771,73.8198096,Monginis Sinhgad Rd,Cupcake shop,18.432795,73.803741,941735
2 BHK Flat  In Vanshri Apartments for Rent  In Bavdhan,"Vanshri Apartments,, Prabhat Housing Society, Sagar Co-Operative Housing Society, Bavdhan, Pune","₹ 22,000No Extra Maintenance","₹75,000",Rent (Negotiable),https://images.nobroker.in/images/8a9f94827ace5073017acea8d61a2b6c/8a9f94827ace5073017acea8d61a2b6c_93045_21617_medium.jpg,18.4642771,73.8198096,Blue Bay,Water park,18.434561,73.839841,Goa 403506
2 BHK Flat  In Vanshri Apartments for Rent  In Bavdhan,"Vanshri Apartments,, Prabhat Housing Society, Sagar Co-Operative Housing Society, Bavdhan, Pune","₹ 22,000No Extra Maintenance","₹75,000",Rent (Negotiable),https://images.nobroker.in/images/8a9f94827ace5073017acea8d61a2b6c/8a9f94827ace5073017acea8d61a2b6c_93045_21617_medium.jpg,18.4642771,73.8198096,Rajiv Gandhi Zoological Park,Zoo,18.452977,73.861109,"Nh 4, Katraj (Satara Road), Pune 411046, Mahārāshtra"
2 BHK Flat  In Vanshri Apartments for Rent  In Bavdhan,"Vanshri Apartments,, Prabhat Housing Society, Sagar Co-Operative Housing Society, Bavdhan, Pune","₹ 22,000No Extra Maintenance","₹75,000",Rent (Negotiable),https://images.nobroker.in/images/8a9f94827ace5073017acea8d61a2b6c/8a9f94827ace5073017acea8d61a2b6c_93045_21617_medium.jpg,18.4642771,73.8198096,Style Zone Men's Wear,Men's store,18.441185,73.79068,"Amruta Vihar, Kirkatwadi-k0Lhewadi (Sinhgad Road), Pune 411024, Mahārāshtra"
2 BHK Flat  In Vanshri Apartments for Rent  In Bavdhan,"Vanshri Apartments,, Prabhat Housing Society, Sagar Co-Operative Housing Society, Bavdhan, Pune","₹ 22,000No Extra Maintenance","₹75,000",Rent (Negotiable),https://images.nobroker.in/images/8a9f94827ace5073017acea8d61a2b6c/8a9f94827ace5073017acea8d61a2b6c_93045_21617_medium.jpg,18.4642771,73.8198096,Aashish Beer Shopee,Wine store,18.44453,73.787904,"Narveer Tanaji Malusare Road, Pune, Mahārāshtra"
2 BHK Flat  In Vanshri Apartments for Rent  In Bavdhan,"Vanshri Apartments,, Prabhat Housing Society, Sagar Co-Operative Housing Society, Bavdhan, Pune","₹ 22,000No Extra Maintenance","₹75,000",Rent (Negotiable),https://images.nobroker.in/images/8a9f94827ace5073017acea8d61a2b6c/8a9f94827ace5073017acea8d61a2b6c_93045_21617_medium.jpg,18.4642771,73.8198096,Ruchira,Restaurant,18.481267,73.854908,"Shop No 1, Treasure Park (SahakarNagar), Pune 411009, Mahārāshtra"
2 BHK Flat  In Vanshri Apartments for Rent  In Bavdhan,"Vanshri Apartments,, Prabhat Housing Society, Sagar Co-Operative Housing Society, Bavdhan, Pune","₹ 22,000No Extra Maintenance","₹75,000",Rent (Negotiable),https://images.nobroker.in/images/8a9f94827ace5073017acea8d61a2b6c/8a9f94827ace5073017acea8d61a2b6c_93045_21617_medium.jpg,18.4642771,73.8198096,Central Water And Power Research Station,Capitol building,18.44453,73.785697,941735
2 BHK Flat  In Vanshri Apartments for Rent  In Bavdhan,"Vanshri Apartments,, Prabhat Housing Society, Sagar Co-Operative Housing Society, Bavdhan, Pune","₹ 22,000No Extra Maintenance","₹75,000",Rent (Negotiable),https://images.nobroker.in/images/8a9f94827ace5073017acea8d61a2b6c/8a9f94827ace5073017acea8d61a2b6c_93045_21617_medium.jpg,18.4642771,73.8198096,Hotel Sushila,Hotel,18.44484,73.78515,"Sinhagad Road, Pune 411024, Maharashtra"
2 BHK Flat  In Vanshri Apartments for Rent  In Bavdhan,"Vanshri Apartments,, Prabhat Housing Society, Sagar Co-Operative Housing Society, Bavdhan, Pune","₹ 22,000No Extra Maintenance","₹75,000",Rent (Negotiable),https://images.nobroker.in/images/8a9f94827ace5073017acea8d61a2b6c/8a9f94827ace5073017acea8d61a2b6c_93045_21617_medium.jpg,18.4642771,73.8198096,Sai Cafe,Coffee shop,18.464564,73.860194,411043
2 BHK Flat  In Vanshri Apartments for Rent  In Bavdhan,"Vanshri Apartments,, Prabhat Housing Society, Sagar Co-Operative Housing Society, Bavdhan, Pune","₹ 22,000No Extra Maintenance","₹75,000",Rent (Negotiable),https://images.nobroker.in/images/8a9f94827ace5073017acea8d61a2b6c/8a9f94827ace5073017acea8d61a2b6c_93045_21617_medium.jpg,18.4642771,73.8198096,Ambegaon Kh,Other great outdoors,18.430642,73.841625,430723
