,Property Title,Location,Rent Price,Deposit Price,Built-up Area,Image URL,Property Type,Furnishing,Preferred Tenants,Availability,Latitude,Longitude
29,"3 BHK Flat  In Shiv Residency for Rent  In Deccan Gymkhana,","Prabhat Rd,,near  Hotel Laxman","₹ 70,000No Extra Maintenance","₹7,00,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5144718,73.8332562
30,2 BHK Flat  In Shakuntal Apartment for Rent  In Erandwane,Law College Rd Near Pastry Corner,"₹ 50,000No Extra Maintenance","₹1,50,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
31,1 BHK Flat  In Shri Krishna Nagar Co Operartive Housing Society for Rent  In Erandwane,"Khilare patil road,  Erandawane Gauthan Near Mantri Hospital","₹ 17,000 +₹ 500Maintenance","₹50,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.6205191,73.9161416
32,1 RK House  for Rent  In Erandwane,"Independent House, Uday Society, near Mahalaxmi Temple","₹ 12,000No Extra Maintenance","₹24,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
33,2 BHK Flat  In Sanjeevani Apartments for Rent  In Deccan Gymkhana,"Sanjeevani Apartments, Lane Number 11, , Erandwane, Pune, Maharashtra 411004, India","₹ 1,00,000No Extra Maintenance","₹1,95,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5759584,73.8930605
34,2 BHK Flat  In Vighnaharta Complex for Rent  In Kothrud,"Near, Flat num 207, Plot num 34, Vighnaharta Co-operating society, Mhatre Bridge, corner, Erandwana Gaothan, Erandwane, Pune, Maharashtra 411004","₹ 13,000No Extra Maintenance","₹30,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.4958923,73.8173819
35,1 RK Flat  In Shankar Chhaya Society  for Rent  In Erandwane,khilare patil rd near  Reliance Mall,"₹ 11,000 +₹ 400Maintenance","₹30,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.4720454,73.9084359
36,2 BHK Flat  In Bakul Hou. Society Pune for Rent  In Erandwane,"7/16, Anil park, Sweekar hotel Lane,, Pandurang Colony, Erandwane, Pune, Maharashtra","₹ 28,000No Extra Maintenance","₹1,00,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
37,1 BHK House  for Rent  In Dattawadi Mhasoba Chowk,"Independent House, Dattawadi","₹ 13,000No Extra Maintenance","₹30,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.6330784,73.8416228
38,1 RK Flat  In Mukta Complex for Rent  In Erandwane,"Mukta Complex, Anil Park Society Internal Road, Pandurang Colony, Erandwane, Pune, Maharashtra 411004, India","₹ 10,000 +₹ 1,000Maintenance","₹30,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5219026,73.7734826
39,"1 RK House  for Rent  In Mhatre Bridge, Dattawadi","Independent House, mhatre bridge oppositeshyamsunder society","₹ 12,000No Extra Maintenance","₹25,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5359203,73.9340125
40,1 RK House  for Rent  In Suratwala Housing Pvt. Ltd.,"Independent House, front of suratwala housing business lmt","₹ 15,000No Extra Maintenance","₹25,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.6330784,73.8416228
41,"1 RK Flat  In Gurudatta Apartment, Navipeth for Rent  In Navi Peth","Ganjave chowk, Nr. Aswad boarding","₹ 10,000 +₹ 200Maintenance","₹15,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5923633,73.7616448
42,1 RK Flat  In Sri Krishna Kunja Chs for Rent  In Sadashiv Peth,"Shivram Matre Rd, Nr. Alka Talkies, Ganjwe Wadi, near Poona Hospital And Research Centre","₹ 18,000No Extra Maintenance","₹36,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
43,"2 BHK Apartment  In Eden Garden, Viman Nagar for Rent  In Viman Nagar","Eden Garden, Viman NagarÂ  Viman Nagar, Pune - 411014, Maharashtra, INDIA.","₹ 45,000No Extra Maintenance","₹1,00,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5007219,73.9018872
44,1 BHK House  for Rent  In Dattawadi,"Independent House, Mhatre Bridge near Om Departmental Store","₹ 15,000No Extra Maintenance","₹30,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5359203,73.9340125
45,1 RK Flat  In R K Centre for Rent  In Dattawadi,V Kamble path near R.K. Chicken Center,"₹ 2,000No Extra Maintenance",₹1,Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.4419196,73.7860736
46,2 BHK Flat  In Shawarna Apartment for Rent  In Erandwane,"Law College Rd, Near ILS law College ARBITRATION CENTER","₹ 1,00,000No Extra Maintenance","₹5,00,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
47,1 BHK Flat  In Rexon Chamb for Rent  In Infinity Library,"LBS road, near poona hospital","₹ 18,000 +₹ 300Maintenance","₹30,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5404042,73.8851792
48,1 BHK Flat  In Desai Niwas for Rent  In Dattavadi,"Bank Of India Colony, Panmala ,Near Chandani Mhasoba Mandir Dattawadi","₹ 16,000No Extra Maintenance","₹30,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5146312,73.8421219
49,1 BHK Flat  In Apartment for Rent  In  Sadashiv Peth,"Lal Bahadur Shastri Road Tilak chowk, Near  Alka Talkies","₹ 20,000No Extra Maintenance","₹30,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5228434,73.8502636
